seed,threshold_raw,threshold_mapped,train_pos_ratio,test_pos_ratio,pred_pos_ratio,balanced_acc,f1,tp,tn,fp,fn,pred_score_mean,pred_score_min,pred_score_max,checkpoint
0,8.0,7.954545454545453,0.5242914979757085,0.5312868949232585,0.500590318772137,56.10047579065211,57.43707093821511,251,224,173,199,7.955009937286377,6.79056453704834,9.038337707519531,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_00/checkpoints/best_model.pt
1,8.0,7.954545454545453,0.5354251012145749,0.5206611570247934,0.46635182998819363,58.5952771913363,57.89473684210525,242,253,153,199,7.941873073577881,7.015116214752197,9.330767631530762,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_01/checkpoints/best_model.pt
2,8.0,7.954545454545453,0.5313765182186235,0.5419126328217237,0.4498229043683589,57.97368775688969,57.14285714285714,240,247,141,219,7.912361145019531,7.028102874755859,8.970762252807617,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_02/checkpoints/best_model.pt
3,8.0,7.954545454545453,0.5219298245614035,0.5489964580873672,0.4793388429752066,54.79395372403311,55.7979334098737,243,219,163,222,7.932799339294434,6.900698661804199,9.273443222045898,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_03/checkpoints/best_model.pt
4,8.0,7.954545454545453,0.5236167341430499,0.5360094451003542,0.38134592680047225,56.61493537792425,51.73745173745174,201,271,122,253,7.868001937866211,7.005886077880859,9.303350448608398,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_04/checkpoints/best_model.pt
5,8.0,7.954545454545453,0.5205802968960864,0.5407319952774499,0.4805194805194805,58.77656290342497,59.42196531791907,257,239,150,201,7.950517177581787,6.952962875366211,9.069402694702148,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_05/checkpoints/best_model.pt
6,8.0,7.954545454545453,0.5350877192982456,0.5147579693034239,0.5206611570247934,58.26971584187146,59.74914481185861,262,232,179,174,7.971301555633545,6.987326145172119,9.14991569519043,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_06/checkpoints/best_model.pt
7,8.0,7.954545454545453,0.5313765182186235,0.5230224321133412,0.42739079102715466,55.83666718816352,53.16770186335403,214,256,148,229,7.902122497558594,6.82348108291626,8.908205032348633,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_07/checkpoints/best_model.pt
8,8.0,7.954545454545453,0.5391363022941971,0.5053128689492326,0.4734356552538371,59.53343519282672,58.624849215922794,243,261,158,185,7.914787769317627,6.816256046295166,8.925726890563965,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_08/checkpoints/best_model.pt
9,8.0,7.954545454545453,0.5280026990553306,0.538370720188902,0.4179456906729634,57.93736258805582,55.30864197530864,224,261,130,232,7.900144100189209,6.819122791290283,8.977804183959961,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_09/checkpoints/best_model.pt
