seed,train,val,test,best_epoch,run_dir,mse,srcc,plcc,acc,emd1,emd2
0,2964,424,847,29,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_00,1.2938694601302507,0.19231804496436916,0.20131575667228852,97.63872491145219,0.09085282683372498,0.14548662304878235
1,2964,424,847,18,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_01,1.1721093069672526,0.2174689572339307,0.22020954632665513,98.34710743801654,0.08917160332202911,0.14362816512584686
2,2964,424,847,9,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_02,1.2757309571804987,0.2036410273914648,0.19536478061352144,97.28453364817001,0.09228217601776123,0.14846806228160858
3,2964,424,847,22,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_03,1.3641389925462342,0.180055311429425,0.18941439667645182,97.04840613931523,0.09206600487232208,0.14671559631824493
4,2964,424,847,20,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_04,1.1877727248911345,0.2268697171220552,0.23473337112369852,98.11097992916174,0.08890831470489502,0.14351487159729004
5,2964,424,847,12,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_05,1.2764370153604718,0.21100070157325637,0.20483392425426136,97.28453364817001,0.09074252098798752,0.14402379095554352
6,2964,424,847,26,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_06,1.3257595287049975,0.24005473372236402,0.250661432908413,97.16646989374263,0.09201394766569138,0.14761334657669067
7,2964,424,847,29,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_07,1.2615622438633234,0.21016174833046672,0.2293900651285976,97.40259740259741,0.09193404763936996,0.14811748266220093
8,2964,424,847,27,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_08,1.259814103186084,0.2417173066967918,0.22786295459930736,97.40259740259741,0.08827356994152069,0.1419878602027893
9,2964,424,847,28,/root/autodl-tmp/nima_pccd_repeated_712_10runs/runs/seed_09,1.3023311370666453,0.2169148383866083,0.2082518163015843,97.87485242030696,0.09157203137874603,0.14737872779369354
