seed,threshold_raw,threshold_mapped,train_pos_ratio,test_pos_ratio,pred_pos_ratio,balanced_acc,f1,tp,tn,fp,fn,pred_score_mean,pred_score_min,pred_score_max,checkpoint
0,8.0,7.954545454545453,0.5242914979757085,0.5312868949232585,0.4982290436835891,78.87265603134621,79.35779816513761,346,321,76,104,7.881461143493652,3.762713670730591,9.566448211669922,/root/autodl-tmp/pccd_repeated_712_10runs/runs/seed_00/2026-05-01-22-56-15/checkpoints/best_model.pt
1,8.0,7.954545454545453,0.5354251012145749,0.5206611570247934,0.4592680047225502,79.67589334584409,79.03614457831326,328,345,61,113,7.7696852684021,4.563824653625488,9.527531623840332,/root/autodl-tmp/pccd_repeated_712_10runs/runs/seed_01/2026-05-01-23-20-44/checkpoints/best_model.pt
2,8.0,7.954545454545453,0.5313765182186235,0.5419126328217237,0.8181818181818182,67.46737641219144,77.95138888888889,449,144,244,10,8.252767562866211,5.584850311279297,8.949097633361816,/root/autodl-tmp/pccd_repeated_712_10runs/runs/seed_02/2026-05-01-23-44-59/checkpoints/best_model.pt
3,8.0,7.954545454545453,0.5219298245614035,0.5489964580873672,0.3754427390791027,74.89528795811518,71.26436781609196,279,343,39,186,7.587049961090088,3.924529552459717,9.384519577026367,/root/autodl-tmp/pccd_repeated_712_10runs/runs/seed_03/2026-05-02-00-09-12/checkpoints/best_model.pt
4,8.0,7.954545454545453,0.5236167341430499,0.5360094451003542,0.371900826446281,75.19728508816176,71.5214564369311,275,353,40,179,7.766323566436768,4.36340856552124,9.11221694946289,/root/autodl-tmp/pccd_repeated_712_10runs/runs/seed_04/2026-05-02-00-33-16/checkpoints/best_model.pt
5,8.0,7.954545454545453,0.5205802968960864,0.5407319952774499,0.4628099173553719,74.96688407179983,74.58823529411764,317,314,75,141,7.774849891662598,5.772096157073975,9.221482276916504,/root/autodl-tmp/pccd_repeated_712_10runs/runs/seed_05/2026-05-02-00-57-28/checkpoints/best_model.pt
6,8.0,7.954545454545453,0.5350877192982456,0.5147579693034239,0.512396694214876,78.26430277461552,78.85057471264368,343,320,91,93,7.870264530181885,3.439697265625,9.538654327392578,/root/autodl-tmp/pccd_repeated_712_10runs/runs/seed_06/2026-05-02-01-21-49/checkpoints/best_model.pt
7,8.0,7.954545454545453,0.5313765182186235,0.5230224321133412,0.45690672963400236,77.8253022819212,77.10843373493977,320,337,67,123,7.796524524688721,4.519615650177002,9.44147777557373,/root/autodl-tmp/pccd_repeated_712_10runs/runs/seed_07/2026-05-02-01-46-22/checkpoints/best_model.pt
8,8.0,7.954545454545453,0.5391363022941971,0.5053128689492326,0.5572609208972845,78.9270738072402,80.2222222222222,361,308,111,67,7.908697128295898,4.283301830291748,9.323421478271484,/root/autodl-tmp/pccd_repeated_712_10runs/runs/seed_08/2026-05-02-02-10-24/checkpoints/best_model.pt
9,8.0,7.954545454545453,0.5280026990553306,0.538370720188902,0.768595041322314,70.31341140575222,78.77145438121048,436,176,215,20,8.36623477935791,4.537308216094971,9.319190979003906,/root/autodl-tmp/pccd_repeated_712_10runs/runs/seed_09/2026-05-02-02-34-55/checkpoints/best_model.pt
